tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán  Nhà mặt phố tạilê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","68,90 tỷ","lê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",118 m²,,,11,Sổ đỏ / Sổ hồng,22/03/202614:00
"Bán  Nhà riêng tạiVõ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","10,90 tỷ","Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",34 m²,4,5,7,Sổ đỏ / Sổ hồng,21/03/202610:12
"Bán Nhà biệt thự, liền kề theo dự ánVinhomes Ocean Park Gia Lâm tại Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",12 tỷ,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",75 m²,,,,Đang chờ sổ,28/03/202610:02
"Bán  Nhà riêng tạiPhường Thạch Bàn, Quận Long Biên, Hà Nội","11,30 tỷ","Phường Thạch Bàn, Quận Long Biên, Hà Nội",63 m²,,,4,Sổ đỏ / Sổ hồng,28/03/202608:16
"Bán  Nhà riêng tạiPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",40 tỷ,"Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",70 m²,,,9,Sổ đỏ / Sổ hồng,27/03/202623:00
"Bán  Nhà mặt phố tạiHoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","36,95 tỷ","Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",55 m²,6,5,9,Sổ đỏ / Sổ hồng,27/02/202609:00
"Bán  Nhà mặt phố tạiTây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội","25,40 tỷ","Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",46 m²,,,11,Sổ đỏ / Sổ hồng,28/03/202609:00
"Bán  Nhà riêng tạiĐỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","22,80 tỷ","Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",38 m²,4,5,5,Sổ đỏ / Sổ hồng,28/03/202608:13
"Bán  Nhà riêng tạiHoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","16,90 tỷ","Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",48 m²,6,,6,Sổ đỏ / Sổ hồng,28/03/202609:00
"Bán  Nhà mặt phố tạiPhường Ngã Tư Sở, Quận Đống Đa, Hà Nội",21 tỷ,"Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",43 m²,5,5,5,Sổ đỏ / Sổ hồng,28/03/202608:14
"Bán  Nhà riêng tạiThái Hà, Phường Quang Trung, Quận Đống Đa, Hà Nội","8,25 tỷ","Thái Hà, Phường Quang Trung, Quận Đống Đa, Hà Nội",24 m²,3,,5,Sổ đỏ / Sổ hồng,28/03/202609:02
"Bán Nhà biệt thự, liền kề theo dự ánVinhomes Ocean Park Gia Lâm tại Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",13 tỷ,"Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",68 m²,,,,Sổ đỏ / Sổ hồng,28/03/202610:02
"Bán  Nhà riêng tạiHoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","26,80 tỷ","Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",55 m²,5,10,6,Sổ đỏ / Sổ hồng,28/03/202600:00
"Bán  Nhà riêng tạiPhường Láng Thượng, Quận Đống Đa, Hà Nội","9,50 tỷ","Phường Láng Thượng, Quận Đống Đa, Hà Nội",35 m²,,,6,Sổ đỏ / Sổ hồng,27/03/202623:00
"Bán  Nhà riêng tạiPhường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","15,50 tỷ","Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",43 m²,,,5,Sổ đỏ / Sổ hồng,28/03/202609:17
"Bán  Nhà riêng tạiPhường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội","12,30 tỷ","Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",400 m²,5,3,8,Sổ đỏ / Sổ hồng,25/03/202604:26
"Bán  Nhà riêng tạiNguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","9,80 tỷ","Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",40 m²,4,3,6,Sổ đỏ / Sổ hồng,27/03/202618:19
"Bán  Nhà riêng tạiPhố trạm, Phường Long Biên, Quận Long Biên, Hà Nội","19,65 tỷ","Phố trạm, Phường Long Biên, Quận Long Biên, Hà Nội",60 m²,,,7,,27/03/202618:00
"Bán  Nhà mặt phố tạiPhố huế, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",700 tỷ,"Phố huế, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",300 m²,,,10,,27/03/202618:00
"Bán  Nhà biệt thự, liền kề tạiPhường Phú Thượng, Quận Tây Hồ, Hà Nội",100 tỷ,"Phường Phú Thượng, Quận Tây Hồ, Hà Nội",200 m²,,,,Sổ đỏ / Sổ hồng,24/03/202610:20
"Bán  Nhà mặt phố tạimai dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","29,30 tỷ","mai dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",50 m²,4,5,8,Sổ đỏ / Sổ hồng,27/03/202622:00
"Bán  Nhà riêng tạiHào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","11,20 tỷ","Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",35 m²,3,5,6,Sổ đỏ / Sổ hồng,27/03/202619:21
"Bán  Nhà riêng tạiPhường Thượng Đình, Quận Thanh Xuân, Hà Nội","23,20 tỷ","Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",54 m²,4,4,4,Sổ đỏ / Sổ hồng,27/03/202618:00
"Bán  Nhà riêng tạiPhường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","38,90 tỷ","Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",100 m²,21,10,9,Sổ đỏ / Sổ hồng,27/03/202618:00
"Bán  Nhà mặt phố tạiNguyễn đổng chi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",100 tỷ,"Nguyễn đổng chi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",154 m²,,,9,,27/03/202618:00
"Bán  Nhà riêng tạiĐường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","5,90 tỷ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",30 m²,3,,5,Sổ đỏ / Sổ hồng,27/03/202618:54
"Bán  Nhà riêng tạiTRẦN BÌNH, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","10,60 tỷ","TRẦN BÌNH, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",35 m²,3,5,5,Sổ đỏ / Sổ hồng,27/03/202622:00
"Bán  Nhà riêng tạiPhường Khương Đình, Quận Thanh Xuân, Hà Nội","8,50 tỷ","Phường Khương Đình, Quận Thanh Xuân, Hà Nội",35 m²,4,3,6,Sổ đỏ / Sổ hồng,27/03/202618:19
"Bán  Nhà riêng tạihồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","8,50 tỷ","hồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",36 m²,4,5,5,Sổ đỏ / Sổ hồng,27/03/202622:00
"Bán  Nhà mặt phố tạiĐường Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","71,60 tỷ","Đường Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",120 m²,,8,8,Sổ đỏ / Sổ hồng,27/03/202617:17
"Bán  Nhà riêng tạiĐường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",5 tỷ,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",30 m²,3,,5,Sổ đỏ / Sổ hồng,27/03/202618:38
"Bán  Nhà riêng tạiĐường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội","17,80 tỷ","Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",96 m²,4,4,4,Sổ đỏ / Sổ hồng,27/03/202616:02
"Bán Nhà biệt thự, liền kề theo dự ánKhu đô thị Thanh Hà tại Phường Kiến Hưng, Quận Hà Đông, Hà Nội",10 tỷ,"Phường Kiến Hưng, Quận Hà Đông, Hà Nội",100 m²,,,,Hợp đồng mua bán,27/03/202615:18
"Bán  Nhà riêng tạiKẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội","12,90 tỷ","Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",60 m²,2,2,2,Sổ đỏ / Sổ hồng,27/03/202615:04
"Bán Nhà biệt thự, liền kề theo dự ánKhu đô thị Thanh Hà tại Phường Kiến Hưng, Quận Hà Đông, Hà Nội",11 tỷ,"Phường Kiến Hưng, Quận Hà Đông, Hà Nội",100 m²,,,,Hợp đồng mua bán,27/03/202615:18
"Bán  Nhà riêng tạiVương thừa vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","20,70 tỷ","Vương thừa vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",50 m²,3,6,7,Sổ đỏ / Sổ hồng,27/03/202616:01
"Bán  Nhà mặt phố tạiNguyễn Văn Hưởng, Phường Giang Biên, Quận Long Biên, Hà Nội","16,50 tỷ","Nguyễn Văn Hưởng, Phường Giang Biên, Quận Long Biên, Hà Nội",55 m²,4,3,4,Sổ đỏ / Sổ hồng,27/03/202616:00
"Bán  Nhà mặt phố tạiĐường Linh Lang, Phường Liễu Giai, Quận Ba Đình, Hà Nội","48,80 tỷ","Đường Linh Lang, Phường Liễu Giai, Quận Ba Đình, Hà Nội",86 m²,4,9,7,Sổ đỏ / Sổ hồng,27/03/202617:02
"Bán  Nhà riêng tạiKẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội","13,20 tỷ","Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",60 m²,2,1,2,Sổ đỏ / Sổ hồng,27/03/202615:04
"Bán  Nhà riêng tạiHồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội","10,90 tỷ","Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",55 m²,5,,5,Sổ đỏ / Sổ hồng,27/03/202616:51
"Bán  Nhà mặt phố tạiQuang trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",220 tỷ,"Quang trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",460 m²,,,,Sổ đỏ / Sổ hồng,27/03/202616:00
"Bán  Nhà riêng tạiHồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội","10,20 tỷ","Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",45 m²,6,,6,Sổ đỏ / Sổ hồng,27/03/202616:52
"Bán  Nhà riêng tạigiáp bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","15,50 tỷ","giáp bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",70 m²,5,5,4,Sổ đỏ / Sổ hồng,27/03/202616:00
"Bán  Nhà biệt thự, liền kề tạiLÊ ĐỨC THỌ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",72 tỷ,"LÊ ĐỨC THỌ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",105 m²,7,7,8,Sổ đỏ / Sổ hồng,27/03/202615:00
"Bán  Nhà riêng tạiThị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội","4,38 tỷ","Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",35 m²,3,4,5,Sổ đỏ / Sổ hồng,27/03/202615:01
"Bán  Nhà mặt phố tạiyên lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",240 tỷ,"yên lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",406 m²,12,10,10,Sổ đỏ / Sổ hồng,27/03/202615:00
"Bán  Nhà riêng tạiĐường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội","33,90 tỷ","Đường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",160 m²,3,4,3,Sổ đỏ / Sổ hồng,27/03/202611:27
"Bán  Nhà riêng tạiĐường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","12,80 tỷ","Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",42 m²,10,10,7,Sổ đỏ / Sổ hồng,27/03/202610:34
"Bán Nhà biệt thự, liền kề theo dự ánVinhomes Ocean Park Gia Lâm tại Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",18 tỷ,"Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",68 m²,4,5,,Sổ đỏ / Sổ hồng,27/03/202612:00
"Bán  Nhà mặt phố tạiThị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Thỏa thuận,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",77 m²,5,5,5,Sổ đỏ / Sổ hồng,27/03/202614:01
"Bán  Nhà riêng tạiThi Sách, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",12 tỷ,"Thi Sách, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",40 m²,4,4,5,Sổ đỏ / Sổ hồng,27/03/202613:59
"Bán  Nhà riêng tạiYên hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","7,85 tỷ","Yên hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",30 m²,3,4,5,Sổ đỏ / Sổ hồng,27/03/202610:37
"Bán  Nhà riêng tạiKIM GIANG, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",13 tỷ,"KIM GIANG, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",50 m²,4,5,5,Sổ đỏ / Sổ hồng,27/03/202614:01
"Bán  Nhà riêng tạiXã Phụng Châu, Huyện Chương Mỹ, Hà Nội","4,25 tỷ","Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",56 m²,4,3,4,Sổ đỏ / Sổ hồng,27/03/202614:56
"Bán  Nhà riêng tạiĐường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội","12,80 tỷ","Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",55 m²,4,5,7,Sổ đỏ / Sổ hồng,27/03/202611:38
"Bán  Nhà riêng tạiÔ Đồng Lầm, Phường Trung Phụng, Quận Đống Đa, Hà Nội",19 tỷ,"Ô Đồng Lầm, Phường Trung Phụng, Quận Đống Đa, Hà Nội",60 m²,6,4,5,Sổ đỏ / Sổ hồng,27/03/202613:59
"Bán  Nhà biệt thự, liền kề tạiNGUYỄN XIỂN, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","29,90 tỷ","NGUYỄN XIỂN, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",90 m²,5,5,5,Sổ đỏ / Sổ hồng,27/03/202614:01
"Bán  Nhà riêng tạiThanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","12,90 tỷ","Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",40 m²,6,7,5,Sổ đỏ / Sổ hồng,27/03/202613:59
"Bán  Nhà mặt phố tạiHồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","17,90 tỷ","Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",60 m²,3,3,3,Sổ đỏ / Sổ hồng,27/03/202614:46
"Bán  Nhà riêng tạiVõ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","7,98 tỷ","Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",32 m²,3,4,5,Sổ đỏ / Sổ hồng,27/03/202610:37
"Bán  Nhà riêng tạiVõng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội","26,20 tỷ","Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",80 m²,7,7,6,Sổ đỏ / Sổ hồng,27/03/202610:36
"Bán  Nhà riêng tạiTrung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","32,80 tỷ","Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",70 m²,4,4,5,Sổ đỏ / Sổ hồng,27/03/202609:16
"Bán  Nhà riêng tạinguyễn chí thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","9,80 tỷ","nguyễn chí thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",55 m²,,,,Sổ đỏ / Sổ hồng,27/03/202609:16
"Bán  Nhà riêng tạiPhường Láng Hạ, Quận Đống Đa, Hà Nội","12,50 tỷ","Phường Láng Hạ, Quận Đống Đa, Hà Nội",49 m²,,,7,Sổ đỏ / Sổ hồng,27/03/202609:15
"Bán  Nhà riêng tạiTôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",16 tỷ,"Tôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",36 m²,4,5,6,Sổ đỏ / Sổ hồng,26/03/202609:50
"Bán  Nhà riêng tạiMỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","13,90 tỷ","Mỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",43 m²,4,5,6,Sổ đỏ / Sổ hồng,27/03/202609:14
"Bán  Nhà riêng tạiNgõ 206, Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội","19,00 tỷ","Ngõ 206, Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",55 m²,3,4,7,Sổ đỏ / Sổ hồng,27/03/202609:18
"Bán  Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","14,70 tỷ","Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",62 m²,4,5,4,Sổ đỏ / Sổ hồng,27/03/202610:24
"Bán  Nhà riêng tạiTrung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","23,40 tỷ","Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",74 m²,6,6,6,Sổ đỏ / Sổ hồng,27/03/202609:19
"Bán  Nhà riêng tạiĐội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","9,90 tỷ","Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",32 m²,3,4,5,Sổ đỏ / Sổ hồng,27/03/202610:33
"Bán  Nhà mặt phố tạiphố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",37 tỷ,"phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",82 m²,,,7,Sổ đỏ / Sổ hồng,27/03/202609:16
"Bán  Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","8,10 tỷ","Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",38 m²,3,4,5,Sổ đỏ / Sổ hồng,27/03/202610:31
"Bán  Nhà mặt phố tạiKẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội","16,00 tỷ","Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",93 m²,1,,1,Sổ đỏ / Sổ hồng,27/03/202609:18
"Bán  Nhà riêng tạilê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","10,80 tỷ","lê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",40 m²,5,5,5,Sổ đỏ / Sổ hồng,27/03/202609:14
"Bán  Nhà riêng tạiNhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",13 tỷ,"Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",40 m²,4,5,6,Sổ đỏ / Sổ hồng,23/03/202610:13
"Bán  Nhà riêng tạiNguyễn khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","13,70 tỷ","Nguyễn khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",39 m²,8,8,5,Sổ đỏ / Sổ hồng,27/03/202610:32
"Bán  Nhà riêng tạiNgọc Hồi, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội","6,80 tỷ","Ngọc Hồi, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội",40 m²,4,,4,Sổ đỏ / Sổ hồng,27/03/202609:08
"Bán  Nhà mặt phố tạiHương Viên, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội","27,50 tỷ","Hương Viên, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",74 m²,4,6,5,Sổ đỏ / Sổ hồng,27/03/202609:11
"Bán  Nhà riêng tạiĐường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","14,40 tỷ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",60 m²,4,4,4,Sổ đỏ / Sổ hồng,27/03/202608:21
"Bán  Nhà riêng tạiPhường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","4,35 tỷ","Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",75 m²,,,3,Hợp đồng mua bán,27/03/202609:07
"Bán  Nhà riêng tạiPhường Văn Quán, Quận Hà Đông, Hà Nội","9,80 tỷ","Phường Văn Quán, Quận Hà Đông, Hà Nội",36 m²,4,,5,Sổ đỏ / Sổ hồng,27/03/202608:50
"Bán  Nhà riêng tạiPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","20,50 tỷ","Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",48 m²,,,5,Sổ đỏ / Sổ hồng,27/03/202608:29
"Bán  Nhà riêng tạiKhương ĐÌnh, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","12,60 tỷ","Khương ĐÌnh, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",36 m²,,,7,Sổ đỏ / Sổ hồng,27/03/202609:03
"Bán  Nhà riêng tạiXã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội","6,50 tỷ","Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",50 m²,4,,5,Sổ đỏ / Sổ hồng,27/03/202608:34
"Bán  Nhà riêng tạinguyễn chí thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","16,60 tỷ","nguyễn chí thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",40 m²,,,,Sổ đỏ / Sổ hồng,27/03/202608:31
"Bán  Nhà mặt phố tạiĐồng Nhân, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội","16,85 tỷ","Đồng Nhân, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",31 m²,2,4,4,Sổ đỏ / Sổ hồng,27/03/202609:13
"Bán  Nhà riêng tạihuỳnh thúc kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",16 tỷ,"huỳnh thúc kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",32 m²,,,,Sổ đỏ / Sổ hồng,27/03/202608:32
"Bán  Nhà riêng tạiPhường Láng Hạ, Quận Đống Đa, Hà Nội",14 tỷ,"Phường Láng Hạ, Quận Đống Đa, Hà Nội",50 m²,,,4,Sổ đỏ / Sổ hồng,27/03/202609:00
"Bán  Nhà riêng tạiPhường Vạn Phúc, Quận Hà Đông, Hà Nội","12,65 tỷ","Phường Vạn Phúc, Quận Hà Đông, Hà Nội",43 m²,4,,5,Sổ đỏ / Sổ hồng,27/03/202609:01
"Bán  Nhà riêng tạiMỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội","19,99 tỷ","Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",50 m²,13,14,7,Sổ đỏ / Sổ hồng,18/03/202609:58
"Bán  Nhà biệt thự, liền kề tạiLưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","29,99 tỷ","Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",96 m²,5,5,4,Sổ đỏ / Sổ hồng,18/03/202609:13
