tieu_de,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site,dien_tich_log,quan,thanh_pho,gia,gia_log
"5 tầng Biệt Thự Hẻm Xe Hơi,(4 x 10) vuông A4,,tặg nội thất sịn,SHR, nhỉnh 8t TL","Đường Trương Đăng Quế, Phường 3, Quận Gò Vấp, Hồ Chí Minh",40.0,4,4,4,Đã có sổ,2026-03-30,batdongsan,3.713572066704308,Quận Gò Vấp,TP.HCM,8.3,2.2300144001592104
Nhà phố vừa ở vừa kinh doanh được - Đường số rộng 12m của Lý Phục Man - Sổ hồng hoàn công giá 8.5tỷ,"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",44.4,3,3,2,Đã có sổ,2026-03-23,batdongsan,3.8155121050473024,Quận 7,TP.HCM,8.5,2.2512917986064953
"Bán gấp Nhà riêng 64m2 tại Gò Xoài, Bình Hưng Hòa A, Quận Bình Tân, giá 9,9 tỷ","Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",64.0,5,6,5,Đã có sổ,2026-03-31,batdongsan,4.174387269895637,Quận Bình Tân,TP.HCM,9.9,2.388762789235098
"Nhà sát bên CV phần mềm Quang Trung, DT:4x18m, lửng, 3Lầu, 4PN, P.Thờ, Gara ô tô, S.thượng, 8.6 tỷ","Phố Hà Đặc, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",72.0,4,5,4,Đã có sổ,2026-03-28,batdongsan,4.290459441148391,Quận 12,TP.HCM,8.6,2.2617630984737906
"Bán Nhà riêng tạiĐường Tôn Đức Thắng, Phường Văn Chương, Quận Đống Đa, Hà Nội","Đường Tôn Đức Thắng, Phường Văn Chương, Quận Đống Đa, Hà Nội",16.0,3,2,4,Đã có sổ,2026-02-19,thuviennhadat,2.833213344056216,Quận Đống Đa,Hà Nội,2.6,1.2809338454620642
"Bán Nhà biệt thự, liền kề theo dự ánSolasta Mansion Dương Nội tại Solasta Mansion Dương Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội","Solasta Mansion Dương Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",170.0,4,3,8,Đã có sổ,2025-09-15,thuviennhadat,5.14166355650266,Quận Hà Đông,Hà Nội,43.35,3.7921127087555884
Nhà HXH Nguyễn Văn Lượng Ngay Lotte Mart Gò Vấp 73m 4PN 5WC Giá tốt 2.85 tỷ . Cho thuê 15tr/tháng,"Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh",73.0,4,5,3,Đã có sổ,2026-03-28,batdongsan,4.30406509320417,Quận Gò Vấp,TP.HCM,2.85,1.3480731482996928
"Bán Nhà riêng tạiđường 50, Phường Đồng Mai, Quận Hà Đông, Hà Nội","đường 50, Phường Đồng Mai, Quận Hà Đông, Hà Nội",180.0,4,3,5,Đã có sổ,2025-06-03,thuviennhadat,5.198497031265826,Quận Hà Đông,Hà Nội,5.7,1.9021075263969205
"Bán Nhà riêng tạiĐường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",72.0,12,12,7,Đã có sổ,2025-06-11,thuviennhadat,4.290459441148391,Quận Đống Đa,Hà Nội,23.0,3.1780538303479458
NHÀ ĐẸP DIỆN TÍCH KHỦNG NGAY TRUNG TÂM - ĐỐI DIỆN BỆNH VIỆN HỒNG ĐỨC 5 x 14 Trệt 3 Lầu Giá.8tỷ250,"Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh",70.0,4,5,3,Đã có sổ,2026-03-18,batdongsan,4.2626798770413155,Quận Gò Vấp,TP.HCM,8.25,2.224623551524334
TÂN HƯNG - QUẬN 7 - XE HƠI ĐỖ CỬA - CÁCH MẶT TIỀN 10M2 - 3 TẦNG - 61M2 - SỔ VUÔNG - GIÁ 9.2 TỶ.,"Đường Số 2, Phường Tân Hưng, Quận 7, Hồ Chí Minh",61.0,4,4,3,Đã có sổ,2026-03-30,batdongsan,4.127134385045092,Quận 7,TP.HCM,9.2,2.322387720290225
THANH LÝ NHÀ 60m2 - HXH 7M QUẬN 8 - PHÁP LÝ CHUẨN - HOÀN CÔNG ĐẦY ĐỦ,"Đường Nguyễn Ngọc Cung, Phường 16, Quận 8, Hồ Chí Minh",60.0,2,3,2,Đã có sổ,2026-03-27,batdongsan,4.110873864173311,Quận 8,TP.HCM,4.62,1.7263316639055997
"Bán Nhà riêng tạiNguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",35.0,3,4,5,Đã có sổ,2026-08-01,thuviennhadat,3.58351893845611,Quận Cầu Giấy,Hà Nội,9.75,2.3749057545736716
"Bán nhà hẻm Nguyễn Văn Luông, DT 5 x 15m, giá 7.5 tỷ","Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",69.4,3,3,2,Đã có sổ,2026-03-27,batdongsan,4.254193263163997,Quận 6,TP.HCM,7.5,2.1400661634962708
"Bán Nhà mặt phố tạiĐường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",62.0,4,4,8,Đã có sổ,2026-03-15,thuviennhadat,4.143134726391533,Quận Cầu Giấy,Hà Nội,43.0,3.784189633918261
Nhà Trần Hưng Đạo P7 Q5 là P. An Đông dt 3x10m+ 2 lầu đúc thật hẻm sạch sẽ an ninh giá 5ty880,"Phường 7, Quận 5, Hồ Chí Minh",30.0,2,3,2,Đã có sổ,2026-03-21,batdongsan,3.4339872044851463,Quận 5,TP.HCM,5.88,1.9286186519452522
"(NEW) HẺM XE HƠI - Nhà đẹp 4 tầng ngay CMT8 quận 10 (53m2) ngang 4m, 4 phòng ngay cư xá Bắc Hải","Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",53.0,4,4,4,Đã có sổ,2026-03-30,batdongsan,3.9889840465642745,Quận 10,TP.HCM,12.8,2.624668592163159
"Nhà phố hiện đại, xây dựng tâm huyết - Hẻm 41 Chuyên Dùng Chín Q7 - 4m x 15m Giá 7,45 tỷ","Đường Chuyên Dùng 9, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",61.5,4,5,4,Đã có sổ,2026-03-26,batdongsan,4.135166556742356,Quận 7,TP.HCM,7.45,2.134166441369082
Duy Nhất 1 lô hẻm Víp 368 Tân Sơn Nhì Tân Phú 4x16 giá 8.5 tỷ thôi ạ,"368, Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",65.0,1,1,4,Đã có sổ,2026-03-30,batdongsan,4.189654742026425,Quận Tân Phú,TP.HCM,8.5,2.2512917986064953
"Lê Văn Quới - BHH A, Bình Tân: 4 tầng, DT 12x14, nở hậu, giá 1x tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",168.0,4,5,4,Đã có sổ,2026-03-29,batdongsan,5.1298987149230735,Quận Bình Tân,TP.HCM,18.0,2.9444389791664403
NGANG LỚN GẦN 7m - hẻm OTO 5m - 4Tầng (6.5 x 14) - 50m ra Mặt Tiền Nguyễn Văn Lượng chỉ 12.4tỷ,"Đường Nguyễn Văn Lượng, Phường 6, Quận Gò Vấp, Hồ Chí Minh",90.0,5,5,5,Đã có sổ,2026-03-27,batdongsan,4.51085950651685,Quận Gò Vấp,TP.HCM,12.4,2.5952547069568657
Bán Gấp Nhà 1 Trệt 2 lầu 62m2 Lê văn Sỹ: Vip Nhất Quận 3 - Hẻm xe tải- Chỉ 11 tỷ,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",62.0,3,3,3,Đã có sổ,2026-03-29,batdongsan,4.143134726391533,Quận 3,TP.HCM,11.0,2.4849066497880004
"Bán Nhà riêng tạiHoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội",36.0,4,4,6,Đã có sổ,2025-12-15,thuviennhadat,3.6109179126442243,Quận Ba Đình,Hà Nội,9.95,2.3933394562625097
"Bán Nhà riêng tạiĐường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",28.0,3,4,5,Đã có sổ,2025-02-11,thuviennhadat,3.367295829986474,Quận Thanh Xuân,Hà Nội,5.7,1.9021075263969205
Bán nhà đẹp vào ở ngay 3 tầng. Gần đường hoành diệu,"Đường Hoàng Diệu, Phường 9, Quận 4, Hồ Chí Minh",21.5,2,3,3,Đã có sổ,2026-03-30,batdongsan,3.1135153092103742,Quận 4,TP.HCM,4.55,1.713797927758343
Khu vip hẻm hơi Lê Hồng Phong Q10 nhà 2 tầng 27m nở hậu có sẵn dòng tiền 8.5tr/th chỉ 4.9 tỷ,"Đường Lê Hồng Phong, Phường 9, Quận 10, Hồ Chí Minh",27.0,1,1,2,Đã có sổ,2026-03-30,batdongsan,3.332204510175204,Quận 10,TP.HCM,4.9,1.7749523509116738
"Bán nhà quận 8 cao lỗ 2 tầng, gần 40m2, . HXH","Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",40.0,2,3,2,Đã có sổ,2026-03-24,batdongsan,3.713572066704308,Quận 8,TP.HCM,4.5,1.7047480922384253
Bán nhà khu dan cư 2 tầng. Gần đường và chợ. Hẻm thông,"Đường Đoàn Văn Bơ, Phường 14, Quận 4, Hồ Chí Minh",56.0,3,2,2,Đã có sổ,2026-03-22,batdongsan,4.04305126783455,Quận 4,TP.HCM,5.1,1.8082887711792655
"Bán Nhà riêng tạiKim Hoa, Phường Phương Liên, Quận Đống Đa, Hà Nội","Kim Hoa, Phường Phương Liên, Quận Đống Đa, Hà Nội",38.0,4,5,6,Đã có sổ,2025-06-09,thuviennhadat,3.6635616461296463,Quận Đống Đa,Hà Nội,11.8,2.5494451709255714
"Bán NR tại 98 đường 23, Bình Phú, 17 tỷ VND, 83m2, 4PN, 5WC, pháp lý đầy đủ, giá ưu đãi","98 đường 23, bình phú, tphcm, Đường 23, Phường 10, Quận 6, Hồ Chí Minh",83.0,4,5,3,Đã có sổ,2026-03-16,batdongsan,4.430816798843313,Quận 6,TP.HCM,17.0,2.8903717578961645
NHÀ 5 x 20m - XÂY 4 TẦNG - KHU ĐƯỜNG QUỐC HƯƠNG - P. THẢO ĐIỀN,"Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh",100.0,4,5,4,Đã có sổ,2026-03-16,batdongsan,4.61512051684126,Quận 2,TP.HCM,25.0,3.258096538021482
HẺM ÔTÔ 8M Q3 LÊ VĂN SỸ DTSD 60M CHỈ 5 TỶ HƠN,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",30.0,2,2,2,Đã có sổ,2026-03-19,batdongsan,3.4339872044851463,Quận 3,TP.HCM,5.5,1.8718021769015913
"5,65 tỷ! Nhà đẹp 2 tầng ngang 5m ngay Tây Hoà, cách ga Metro chưa tới 1km. Vị trí hiếm giá rẻ","Đường Tây Hòa, Phường Phước Long A, Quận 9, Hồ Chí Minh",51.0,4,3,2,Đã có sổ,2026-03-30,batdongsan,3.9512437185814275,Quận 9,TP.HCM,5.65,1.8946168546677629
Nhà trệt 2 lầu 5PN Trung Mỹ Tây - HXH thông - 61m2 - Gần Galaxy Trung Chánh,"Đường Trung Mỹ Tây, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",61.3,5,4,3,Đã có sổ,2026-03-17,batdongsan,4.131961425793407,Quận 12,TP.HCM,5.5,1.8718021769015913
"Nhà c4 tiện xây mới - 4x16m - ngay gần khu vực Gò Xoài, giáp Tân Phú, 5.16 tỷ","Đường Số 20, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",63.2,1,1,1,Đã có sổ,2026-03-25,batdongsan,4.162003210695915,Quận Bình Tân,TP.HCM,5.16,1.8180767775454285
Bán hẻm xe tải 6m - Gò Dầu - Ngay Aeon Tân Phú - Ngang 5m - DTCN: 77m2 - giá nhỉnh 6 tỷ,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",77.0,2,1,1,Đã có sổ,2026-03-24,batdongsan,4.356708826689592,Quận Tân Phú,TP.HCM,6.5,2.0149030205422647
"Bán dãy trọ 86m2 góc 2 mặt tiền hẻm oto, tương lai mặt tiền Hà Huy Giáp 2","Đường Thạnh Xuân 40, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",86.0,5,5,1,Đã có sổ,2026-03-28,batdongsan,4.465908118654584,Quận 12,TP.HCM,4.5,1.7047480922384253
