tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site
Hiếm nhà 3 tầng 61m2 Bình Trưng Tây - hẻm xe hơi ngủ trong nhà - đường số 5 - chỉ nhỉnh 6 tỷ,6.0,"Đường Số 5, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",61.0,2,2,3,Sổ hồng,2026-03-27,batdongsan
"NHÀ ĐẸP 2TẦNG XÁCH VALY VÀO Ở NGAY - DT 40M2, NGAY CVPM QUANG TRUNG - TRUNG MỸ TÂY, Q12",3.5,"Đường DD4, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",40.0,2,2,2,Sổ hồng,2026-03-30,batdongsan
"Bán gấp nhà Phan Văn Trị, 64m2(4x16), đường nhựa 8m, sát CoopMart và City Land Phan Văn Trị, Gò Vấp",10.0,"Đường Phan Văn Trị, Phường 17, Quận Gò Vấp, Hồ Chí Minh",64.0,2,2,2,Sổ hồng,2026-03-26,batdongsan
BÁN NHÀ TRỆT LỬNG - 2 PHÒNG 3WC NGAY TRUNG TÂM QUẬN 1,6.68,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",38.0,2,3,2,Sổ hồng,2026-03-21,batdongsan
"Giảm Sốc 1 Tỷ Nhà Đẹp 5 Tầng Hẻm 6m Nguyễn Tri Phương, Ngay Nút Giao 3/2 DT44m Chỉ 12.5",12.5,"Đường Nguyễn Tri Phương, Phường 9, Quận 10, Hồ Chí Minh",44.0,3,3,5,Sổ hồng,2026-03-30,batdongsan
"Bán nhà riêng đường Lý Chính Thắng Quận 3,hẻm thông Hoàng Sa,diện tích 60m2",13.2,"62/237  Lý Chính Thắng, Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",60.0,3,2,2,Sổ hồng,2026-03-24,batdongsan
"P. Nguyễn Thái Bình Q1, sau lưng căn mặt tiền - hẻm 4m - 3,5x12 nở hậu (hơn 40m2 đất) - chỉ 8,5 tỷ",8.5,"Phố Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",40.0,2,2,2,Sổ hồng,2026-03-26,batdongsan
Giảm 5 tỷ bán nhanh toà nhà căn hộ phường Thảo Điền - Quận 2 - Hầm 6 tầng - DT 200m2 - HĐT 150triệu,70.0,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",200.0,9,10,6,Sổ hồng,2026-03-26,batdongsan
Nhà đẹp mới: Thống Nhất Phường 16 Quận Gò Vấp,5.65,"276/, Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",44.0,3,3,4,Sổ hồng,2026-03-30,batdongsan
"HXH 1 sẹc, CMT8 Q.10, DT 68m2 (4x17), giá 9 tỷ 5",9.5,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",68.0,6,6,3,Sổ hồng,2026-03-20,batdongsan
Nhà đẹp An Khánh - dòng tiền 25tr/tháng - giá bán thương lượng,14.2,"Đường Số 8, Phường An Khánh, Quận 2, Hồ Chí Minh",60.0,4,4,3,Sổ hồng,2026-03-19,batdongsan
Nhà 1/ DT 3.5 x 7m đúc 3 tầng hẻm 3m đường Trần Phú,4.95,"Đường Trần Phú, Phường 4, Quận 5, Hồ Chí Minh",24.5,2,2,3,Sổ hồng,2026-03-29,batdongsan
"Bán nhanh nhà mới, vị trí đẹp đường 10m Bình Phú Q.6 chỉ 6.5 tỷ",6.5,"Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh",40.0,2,2,2,Sổ hồng,2026-03-17,batdongsan
KHU PHÂN LÔ PHAN HUY ÍCH HUỲNH VĂN NGHỆ - 5 TẦNG XÂY MỚI - DT 4M x 14M - Ô TÔ THÔNG - FULL NỘI THẤT,7.99,"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh",56.0,4,5,4,Sổ hồng,2026-03-17,batdongsan
"Bán nhà Phú Nhuận 74.3m2, 4 tầng kiên cố hẻm thông gần mặt tiền chỉ 8,999 tỷ",9.0,"Đường Duy Tân, Phường 15, Quận Phú Nhuận, Hồ Chí Minh",74.3,4,4,4,Sổ hồng,2026-03-25,batdongsan
Bán nhà mới đẹp 1 trệt 1 lầu 48m2 sổ riêng hẻm 60 Lâm Văn Bền 3 mặt tiền,5.39,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",48.0,2,3,2,Sổ hồng,2026-03-30,batdongsan
"Nhà DD công viên khu Aeon Tên Lửa 5x20,3.5 tấm nhà đẹp. Giá 14.5 tỷ",14.5,"Đường 5B, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",100.0,5,6,4,Sổ hồng,2026-03-19,batdongsan
NHÀ ĐẸP MỚI HẺM XH THẠCH LAM (4MX14M)_ ĐÚC 3.5 TẤM LỆCH TẦNG HIỆN ĐẠI,7.7,"Phố Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",56.0,4,3,4,Sổ hồng,2026-03-17,batdongsan
"MT đường số Bông Sao DT 83m2, ngang 5m, hiếm giá chỉ 6,3tỷ",6.3,"đường Số 2, Đường Bông Sao, Phường 5, Quận 8, Hồ Chí Minh",83.0,3,2,2,Sổ hồng,2026-03-26,batdongsan
"Nhà mới 2 tầng 40m2, 2 phòng ngủ, Hiệp Thành, Q. 12 SHR. Giá chỉ 3,68 tỷ, thương lượng mạnh",3.68,"Hẻm 184, Đường Bùi Văn Ngữ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",40.0,2,2,2,Sổ hồng,2026-03-28,batdongsan
"TTQ5, T.Phú, 4 tầng, ngang 4.8m, sổ vuông vức",9.7,"Đường Trần Phú, Phường 7, Quận 5, Hồ Chí Minh",57.0,3,3,4,Sổ hồng,2026-03-25,batdongsan
Hiếm! Nhà mới xây gần sông Sài Gòn TL37 (Đ/C mới: TL25)- UBND phường mới - Ngã Tư Ga,6.59,"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",51.9,4,5,4,Giấy tờ không xác định,2026-03-28,batdongsan
NHÀ GẦN AEON TÂN PHÚ - 3 TẦNG (4mx15m) PHƯỜNG BÌNH HƯNG HOÀ,4.95,"Đường Phan Đăng Giảng, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",60.0,3,3,3,Sổ hồng,2026-03-17,batdongsan
Nhà hẻm thông xe hơi Dương Quảng Hàm P5 - GV sau siêu thị Emark DT 4x15m 1 trệt 2 lầu ST -8 tỷ,8.0,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",60.0,4,4,4,Sổ hồng,2026-03-30,batdongsan
"NHÀ ĐẸP HẺM 5M-TÂN BÌNH-GẦN KHU BÀU CÁT-61M2-3TẦNG-(4,1X15M)-NHỈNH 9TỶ",9.2,"Phường 11, Quận Tân Bình, Hồ Chí Minh",61.0,4,4,3,Sổ hồng,2026-03-31,batdongsan
"Bán nhà gần BV 175, sân bay 1t5 DT 46,6m2 Nguyễn Văn Công, P3, Gò Vấp",1.5,"Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh",46.6,2,3,2,Sổ hồng,2026-03-25,batdongsan
"Nhà đẹp vị trí VIP nhất quận 12 1/ Dương Thị Mười, P. Tân Chánh Hiệp (Trung Mỹ Tây mới)",4.59,"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",52.0,2,2,2,Sổ hồng,2026-03-26,batdongsan
"Có 1 in 2 - 4PN, 5WC, 52m2 tại Huỳnh Tấn Phát, Phú Thuận, Q7, 8,05 tỷ",8.05,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",52.0,4,5,4,Sổ hồng,2026-03-30,batdongsan
"Bán NR ở Quang Trung, Gò Vấp, 4,2tỷ, 46,77m2, 2PN, 2WC, pháp lý đầy đủ",4.2,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",46.77,2,2,2,Sổ hồng,2026-03-18,batdongsan
Bán nhà chính chủ Gò Vấp - sổ hồng riêng - 100% mới,6.25,"61/84, Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh",87.0,3,3,3,Sổ hồng,2026-03-17,batdongsan
"Quận 6 Bình Tiền Chợ Lớn - hẻm 4m thông - 8x24m - nở hậu 12m, 203,4m2, chỉ 14tỷ",14.0,"Đường Bình Tiên, Phường 4, Quận 6, Hồ Chí Minh",203.4,4,4,2,Sổ hồng,2026-03-26,batdongsan
"Bán nhà mới đường Số 8 Lê Văn Quới, phường Bình Hưng Hòa A, Q. Bình Tân, 5 x 13m giá 4.850 tỷ",4.85,"Đường Số 8, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",65.0,3,3,2,Sổ hồng,2026-03-27,batdongsan
"BÁN NHÀ HẺM XE HƠI CHỈ HƠN 4 TỶ, ĐƯỜNG 2, ĐÌNH PHONG PHÚ,TRUNG TÂM PHƯỜNG TĂNG NHƠN PHÚ B,QUẬN 9",4.0,"Đường Đình Phong Phú, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",50.0,2,2,2,Sổ hồng,2026-03-25,batdongsan
"Nhà HXH đường số 17 thu nhập 35tr, bán 12.5 tỷ, diện tích 5x28m, 2L, 5 căn cho thuê",12.5,"Đường 17, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",140.0,5,5,3,Sổ hồng,2026-03-23,batdongsan
Nhà riêng chính chủ/ nhà sạch đẹp,12.0,"58/192 (địa chỉ cũ 85/17 Nguyễn Thị Nhỏ), Đường Âu Cơ, Phường 9, Quận Tân Bình, Hồ Chí Minh",64.0,4,5,3,Sổ hồng,2026-03-16,batdongsan
"4 TỶ 5 - NHÀ ĐƯỜNG ĐOÀN VĂN BƠ, QUẬN 4 HẺM XE MÁY - GIÁ TỐT TRONG KHU VỰC.",4.5,"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",50.0,4,3,2,Sổ hồng,2026-03-24,batdongsan
"VỊ TRÍ VÀNG !HXH Trần Quang Khải,TĐ,Q1. 4,01x11,1m- CN 42,9m2. Để ở. Chỉ 12,5 tỷ TL,0978 578 ***",12.5,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",42.9,6,7,5,Sổ hồng,2026-03-30,batdongsan
BÁN NHÀ HẺM 78 ĐOÀN VĂN BƠ NHÀ MỚI 2 PHÒNG NGỦ QUẬN 4,5.59,"Đường Đoàn Văn Bơ, Phường 10, Quận 4, Hồ Chí Minh",24.0,2,3,4,Sổ hồng,2026-03-30,batdongsan
"Bán nhà hẻm xe hơi tránh nhau, diện tích đẹp, hiếm: Ngang 8x22; 3lầu; nhỉnh 70tr/m2; kinh doanh tốt",13.5,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",176.0,4,4,4,Sổ hồng,2026-03-23,batdongsan
"Bán nhà quận 10 - thuận tiện kinh doanh giá 7,8 tỷ",7.8,"Đường Hồ Thị Kỷ, Phường 1, Quận 10, Hồ Chí Minh",40.0,3,3,2,Sổ hồng,2026-03-24,batdongsan
"Bán nhà đường Hùng Vương quận 10, hẻm xe hơi 6m - ngang 3,5m - dài 12m, 2tầng BTCT - giá chỉ 7,9tỷ",7.9,"Đường Hùng Vương, Phường 1, Quận 10, Hồ Chí Minh",41.0,3,2,2,Sổ hồng,2026-03-31,batdongsan
Bán nhà - Lê Hồng Phong. Q. 5 - 30m2 - 4 tầng - giá 6.5tỷ,6.5,"Đường Lê Hồng Phong, Phường 2, Quận 5, Hồ Chí Minh",30.0,3,3,4,Sổ hồng,2026-03-26,batdongsan
"Bán đất tặng nhà HXH 8m đường Chuyên Dùng 9, P. Phú Thuận, Q. 7",9.5,"Hẻm 77, Đường Chuyên Dùng 9, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",159.1,3,3,2,Sổ hồng,2026-03-16,batdongsan
"Nhà phố cực đẹp và rộng đầy đủ nội thất sang trọng đường Phạm Hữu Lầu Quận 7 - giá 8.9 tỷ, 8x14m",8.9,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",110.2,4,5,3,Sổ hồng,2026-03-17,batdongsan
Bán nhà 4 tầng HXH đường số Tân Quy - DT sàn 320m2 5PN - oto ngủ nhà vào ở ngay - nhỉnh 13 tỷ,13.55,"Đường Số 12, Phường Tân Quy, Quận 7, Hồ Chí Minh",80.0,5,5,4,Sổ hồng,2026-03-24,batdongsan
Ngay Ngã 4 Phan Đăng Lưu - Phú Nhuận - 70m2 - ngang 6m - nở hậu - có 1pn trệt cho người lớn tuổi,7.35,"Phố Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Hồ Chí Minh",70.0,3,3,2,Sổ hồng,2026-03-24,batdongsan
"Bán nhà riêng tại Cách Mạng Tháng Tám, 5,65 tỷ, 40m2, 2PN, 2WC",5.65,"Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh",40.0,2,2,1,Sổ hồng,2026-03-29,batdongsan
NHÀ 5 x 20m - XÂY 4 TẦNG - KHU ĐƯỜNG QUỐC HƯƠNG - P. THẢO ĐIỀN,25.0,"Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh",100.0,4,5,4,Sổ hồng,2026-03-16,batdongsan
"BÁN NHÀ 60m2 HXH PHÚ THỌ HOÀ-(4,4 x12,5 -nở hậu 5,2m) CHỈ 7T5",7.5,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",60.0,2,2,2,Sổ hồng,2026-03-28,batdongsan
"Bán nhà đường Điện Biên Phủ Q10 - bên Q3 75m2(4x19)HXH thông, khu kinh doanh sầm uất giá chỉ 10 tỷ",10.0,"Đường Điện Biên Phủ, Phường 11, Quận 10, Hồ Chí Minh",75.0,3,2,2,Sổ hồng,2026-03-16,batdongsan
Chỉ 60 tr/m2 có ngay CHDV 17 phòng Q12 gần depot Metro doanh thu khủng 70tr/tháng tin thật 100%,9.0,"Đường Tân Thới Nhất 17, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",145.0,17,17,3,Sổ hồng,2026-03-31,batdongsan
"Siêu phẩm 4,4m x 18m. 5 tầng thang máy 1/ hẻm 8m Thạnh Xuân 25. View kênh",8.79,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",75.0,4,6,5,Sổ hồng,2026-03-30,batdongsan
"Siêu phẩm nhà đẹp 4x22m 1 lửng 3 lầu 1/ ngắn 20m ra đường Nguyễn Thị Kiểu, gần tiểu học Lê Văn Thọ",8.49,"Đường Nguyễn Thị Kiểu, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",84.0,5,5,5,Sổ hồng,2026-03-30,batdongsan
"Bán nhà cạnh Aeon Tân Phú 60 m2, 3 tầng hẻm 4 m oto 5 tỷ",5.0,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",60.0,3,3,3,Sổ hồng,2026-03-24,batdongsan
"Bán nhà phố 36m2 tại Huỳnh Tịnh Của, 6PN, 4WC, Q3, HCM hàng hiếm giá tốt chỉ 9,5 tỷ, còn bớt lộc",9.5,"Đường Huỳnh Tịnh Của, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",36.0,6,4,4,Sổ hồng,2026-03-25,batdongsan
"Đi nước ngoài bán nhà Phạm Văn Chí, 60m2, 3 tầng BTCT 3PN 3WC, chính chủ ở lâu đời, gần mặt tiền",5.8,"Đường Phạm Văn Chí, Phường 3, Quận 6, Hồ Chí Minh",60.0,3,3,3,Sổ hồng,2026-03-17,batdongsan
"Chỉ 7,8 tỷ (bằng giá hẻm) - có nhà mặt tiền thụt Trần Đình Xu - cho thuê 216 triệu/ năm",7.8,"Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Hồ Chí Minh",31.9,2,2,3,Sổ hồng,2026-03-17,batdongsan
NHÀ ĐẸP LUNG LINH 4 TẦNG GIÁ TỐT NHẤT KHU VỰC LIÊN KHU 4-5,5.0,"Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",60.0,4,5,4,Sổ hồng,2026-03-31,batdongsan
"Bán nhà Phan Huy Ích ngang 5.2m hiếm, gần Emart Gò Vấp, full nội thất, đầy đủ công năng, chỉ 5 tỷ 7",5.75,"Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh",67.6,3,2,2,Sổ hồng,2026-03-30,batdongsan
"LÂM VĂN BỀN Q7, NHÀ NGANG KHỦNG 6.5M 4 TẦNG 3 PHÒNG NGỦ NGAY CẠNH LOTTE CHỈ 5 TỶ NHỈNH",5.9,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",46.0,3,3,4,Sổ hồng,2026-03-27,batdongsan
"Biệt thự mini 10m x 15,5m. 1 Hầm 3 Lầu Khu Biệt Thự Phú Nhuận 1/ Lê Thị Riêng",14.98,"1/, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",152.5,5,5,4,Sổ hồng,2026-03-19,batdongsan
LÝ THƯỜNG KIỆT GẦN ĐH BÁCH KHOA- HẺM NHỰA 8M - 60M2 5PN.,9.5,"Phố Lý Thường Kiệt, Phường 9, Quận Tân Bình, Hồ Chí Minh",60.0,5,4,3,Sổ hồng,2026-03-29,batdongsan
"Chính chủ tìm chủ mới cho CHDV Huỳnh Tấn Phát 5 tầng 16PN hẻm oto ngủ trong nhà, hẻm thông - nở hậu",13.1,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",122.2,16,13,5,Sổ hồng,2026-03-23,batdongsan
"Bán nhà Tôn Đản, 100m2, ngang 5x20m, 3 tầng, 10 phòng trọ, thu nhập 20 triệu/tháng",9.0,"Đường Tôn Đản, Phường 10, Quận 4, Hồ Chí Minh",100.0,10,10,3,Sổ hồng,2026-03-18,batdongsan
"BÁn nhà HXH5M đường Cộng Hòa, Tân Bình. DT 4.2x18 Nở hậu tài Lộc. DTCN 75m2- nhà 1 Lầu. Giá cực TỐT",8.39,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh",75.0,4,2,2,Sổ hồng,2026-03-30,batdongsan
"Đẳng cấp nhà hiện đại view sông rất thoáng mát Phú Mỹ quận 7 ngay Phú Mỹ Hưng - Giá 16,9 tỷ, 5x18m",16.9,"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",90.0,4,5,4,Sổ hồng,2026-03-17,batdongsan
"Bán gấp nhà cấp 4 hẻm xe hơi, kinh doanh, phố Cống Quỳnh Quận 1 chỉ 19.5 tỷ",19.5,"Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",82.0,7,6,4,Sổ hồng,2026-03-28,batdongsan
"Đường 6m xe hơi chạy tới nhà, DT 65m2, 3 tầng đúc, Đường Trần Văn Cơ, VIP Tân Phú, giá chỉ 5 tỷ 9",5.9,"Phố Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",65.0,3,3,3,Sổ hồng,2026-03-29,batdongsan
"Khu vip hiếm nhà bán - Đặng Văn Ngữ, Phú Nhuận - 3 tầng - 65.4m2 - hẻm 6m - nhỉnh 9 tỷ - sát bên Q3",9.55,"Đường Đặng Văn Ngữ, Phường 13, Quận Phú Nhuận, Hồ Chí Minh",65.4,3,4,3,Sổ hồng,2026-03-28,batdongsan
"Sát khu phố ẩm thực Phan Xích Long, 4 tầng, 70m2, ngang 5,2m, 6 CHDV thu nhập 30tr, nhỉnh 8 tỷ",8.2,"Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",70.0,6,6,4,Sổ hồng,2026-03-30,batdongsan
"Hồ Biểu Chánh, Phú Nhuận, mới ở ngay, 4 Tẩng, 50m2, 4Pn, gần hẻm XH, 12.25 Tỷ",12.25,"Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh",51.0,4,3,4,Sổ hồng,2026-03-27,batdongsan
"Bán nhà ngang khủng 8m KDC Bình Lợi P. 13 Bình Thạnh, 8x18m, 4 tầng. View sông Sài Gòn cực đẹp!",20.5,"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh",144.0,5,5,4,Sổ hồng,2026-03-20,batdongsan
"Chính chủ bán nhà hẻm ô tô Tân Sơn Nhì Tân Phú, 70m2, 3 tầng, giá 7.298 tỷ",7.3,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",70.0,4,4,3,Sổ hồng,2026-03-30,batdongsan
"NHÀ MỚI XÂY ĐẸP LUNG LINH, F3-Q8 (Phường Chánh Hưng), HẺM XE HƠI, 4 TẦNG, 59M2, GIÁ 8,98 TỶ TL",8.98,"Đường Phạm Thế Hiển, Phường 3, Quận 8, Hồ Chí Minh",59.0,4,5,4,Sổ hồng,2026-03-25,batdongsan
"Chính chủ bán căn góc HXT, Cư xá Phú Thọ Hòa, LLQ, DTSD 5x16m (80m2), DTCN 62m2 - 11,2 tỷ",11.2,"1G Lạc Long Quân, Đường Cư xá Phú Thọ Hòa, Phường 5, Quận 11, Hồ Chí Minh",62.0,3,3,2,Sổ hồng,2026-03-28,batdongsan
Bán nhà 3 tầng ngay Trần Não xe hơi đậu trước nhà 4.5x11 - 11 tỷ,11.8,"Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",50.4,4,4,3,Sổ hồng,2026-03-25,batdongsan
Khu Chiến Lược - Bình Trị Đông - 72m2 - Giá Tốt Trong Khu Vực,6.2,"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",72.0,3,3,2,Sổ hồng,2026-03-25,batdongsan
"Nhà 5 tầng, ngang 5.5m, Nở hậu, ô tô thông, giá rẻ",11.98,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",91.0,6,5,5,Sổ hồng,2026-03-02,batdongsan
"Bán nhà hẻm ô tô đậu trong nhà đường Man Thiện 76m2 ngang 4m giá 5,5 tỷ",5.5,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",76.0,2,1,1,Sổ hồng,2026-03-30,batdongsan
"Bán nhà riêng ngay trường học Bình Tân, hẻm thông 10m, kinh doanh thoải mái- SHR công chứng ngay",6.5,"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",60.0,2,2,2,Sổ hồng,2026-03-29,batdongsan
Bán nhà xây mới cao cấp đường lạc long quân Q11 gần chợ bình thới,8.7,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",40.0,4,4,5,Sổ hồng,2026-03-20,batdongsan
"VIP Q.1, Nhà đẹp 6 tầng, thang máy, DT 90 m2, (6x15), giá tốt",29.5,"Đường Phạm Viết Chánh, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",90.0,8,9,6,Sổ hồng,2026-03-21,batdongsan
Nhà hẻm 3m Dương Bá Trạc P1 Q8,5.28,"Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh",32.0,3,3,4,Sổ hồng,2026-03-25,batdongsan
"Q1, 70m ra MT Võ Thị Sáu, KQH, nhà mới ở ngay 3 tầng BTCT, gần 45 m2 chỉ 8 tỷ hơn",8.35,"Đường Võ Thị Sáu, Phường Đa Kao, Quận 1, Hồ Chí Minh",43.3,3,4,3,Sổ hồng,2026-03-18,batdongsan
