tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán Nhà riêng tạiĐội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",9.9,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",32,3,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",8.1,"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",38,3,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạilê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",10.8,"lê đức thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",40,5,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiNhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",13,"Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",40,4,5,6,Sổ hồng,3/23/2026
"Bán Nhà riêng tạiNguyễn khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",13.7,"Nguyễn khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",39,8,8,5,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiHương Viên, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",27.5,"Hương Viên, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",74,4,6,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",14.4,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",60,4,4,4,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiĐồng Nhân, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",16.85,"Đồng Nhân, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",31,2,4,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiMỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",19.99,"Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",50,13,14,7,Sổ hồng,3/18/2026
"Bán Nhà biệt thự, liền kề tạiLưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",29.99,"Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",96,5,5,4,Sổ hồng,3/18/2026
"Bán Nhà mặt phố tạiTRUNG KÍNH, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",27.5,"TRUNG KÍNH, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",55,3,4,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiLạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",15.2,"Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",51,3,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiThụy khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",15.7,"Thụy khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",57,7,7,3,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",14.4,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",60,4,4,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạithiên hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",7.99,"thiên hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",32,4,5,6,Sổ hồng,3/27/2026
"Bán Nhà biệt thự, liền kề tạithiên hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",42,"thiên hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",136,5,6,4,Sổ hồng,3/27/2026
"Bán Nhà biệt thự, liền kề tạiBắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",13.9,"Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",250,4,3,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",19.3,"Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",50,7,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTân Thụy, Phường Phúc Đồng, Quận Long Biên, Hà Nội",15,"Tân Thụy, Phường Phúc Đồng, Quận Long Biên, Hà Nội",43,3,5,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạimạc thái tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",34.9,"mạc thái tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",50,4,7,7,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiPhố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",12.5,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",53,5,2,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiViệt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",18.9,"Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",65,4,5,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiPhạm Thận Duật, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",20.9,"Phạm Thận Duật, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",51,6,7,5,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiĐường Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",72.5,"Đường Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",136,8,8,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiKIM GIANG, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",32,"KIM GIANG, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",110,37,37,7,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiTÔN ĐỨC THẮNG, Phường Hàng Bột, Quận Đống Đa, Hà Nội",85,"TÔN ĐỨC THẮNG, Phường Hàng Bột, Quận Đống Đa, Hà Nội",180,5,6,5,Sổ hồng,3/26/2026
"Bán Nhà biệt thự, liền kề theo dự ánKita Capital Ciputra tại Kita Capital Ciputra, VÕ CHÍ CÔNG, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",62,"Kita Capital Ciputra, VÕ CHÍ CÔNG, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",150,5,4,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiĐại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",20.5,"Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",50,5,4,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiHỮU LÊ, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",6.7,"HỮU LÊ, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",42,3,3,4,Sổ hồng,3/26/2026
"Bán Nhà biệt thự, liền kề tạiĐường Hàm Nghi, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",52,"Đường Hàm Nghi, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",85,2,7,6,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiĐường Trần Quốc Vượng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",75,"Đường Trần Quốc Vượng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",105,34,40,8,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiTUỆ TĨNH, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",370,"TUỆ TĨNH, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",320,10,10,4,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiĐường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",27.5,"Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",80,5,5,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiĐường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",8.4,"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",42,4,3,4,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTrần Quốc Toản, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",12.2,"Trần Quốc Toản, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",35,3,3,4,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiđặng thai mai, Phường Quảng An, Quận Tây Hồ, Hà Nội",26,"đặng thai mai, Phường Quảng An, Quận Tây Hồ, Hà Nội",80,6,6,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",8.8,"Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",38,3,5,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạipHẠM tUẤN tÀI, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",26,"pHẠM tUẤN tÀI, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",50,4,6,7,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiMỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",10.6,"Mỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",38,4,5,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạicổ linh , Phường Long Biên, Quận Long Biên, Hà Nội",7.35,"cổ linh , Phường Long Biên, Quận Long Biên, Hà Nội",33,3,4,5,Sổ hồng,3/26/2026
"Bán Nhà biệt thự, liền kề theo dự ánC37 Bộ Công An - Bắc Hà Tower tại C37 Bộ Công An - Bắc Hà Tower, Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",51,"C37 Bộ Công An - Bắc Hà Tower, Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",134,3,3,5,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiGIÁP NHẤT, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",49.5,"GIÁP NHẤT, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",80,6,10,9,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạithịnh liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",21.5,"thịnh liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",55,5,5,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiKIM GIANG, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",34.5,"KIM GIANG, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",90,15,17,10,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiNgọc trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",10.8,"Ngọc trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",50,4,4,4,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội",20,"Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội",45,5,5,4,Sổ hồng,3/23/2026
"Bán Nhà riêng tạitrần quốc hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",21,"trần quốc hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",45,4,6,7,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiKhuất Duy Tiến, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",27.5,"Khuất Duy Tiến, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",55,6,5,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạitây tựu, Phường Tây Tựu, Quận Bắc Từ Liêm, Hà Nội",5.5,"tây tựu, Phường Tây Tựu, Quận Bắc Từ Liêm, Hà Nội",35,4,4,4,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiMỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",14.8,"Mỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",56,9,9,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạicầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",14,"cầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",45,6,5,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạitruong định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",4.6,"truong định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",30,3,3,4,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiThịnh liệt , Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",10.9,"Thịnh liệt , Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",35,3,4,5,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTrung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",33.9,"Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",105,9,5,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiĐê la thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",38.9,"Đê la thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",43,8,6,9,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạiKhương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",9.8,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",35,4,5,6,Sổ hồng,3/23/2026
"Bán Nhà mặt phố tạiKim đồng , Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",28.2,"Kim đồng , Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",61,4,3,4,Sổ hồng,3/26/2026
"Bán Nhà biệt thự, liền kề theo dự ánGamuda Gardens tại Gamuda, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",105,"Gamuda, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",318,4,5,3,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTân mai , Phường Tân Mai, Quận Hoàng Mai, Hà Nội",12.3,"Tân mai , Phường Tân Mai, Quận Hoàng Mai, Hà Nội",50,6,4,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiNguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",19.2,"Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",50,4,6,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiTân mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",10.5,"Tân mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",30,4,5,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiminh khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",6.85,"minh khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",30,3,2,3,Sổ hồng,3/26/2026
"Bán Nhà biệt thự, liền kề tạiĐền lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",33.2,"Đền lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",55,8,10,7,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiPhan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",9.2,"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",37,3,4,5,Sổ hồng,3/26/2026
"Bán Nhà mặt phố tạihàng buồm, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội",169,"hàng buồm, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội",250,3,3,2,Sổ hồng,3/26/2026
